CODIGO;CIDADE;UF;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;ANO
83376;PIRENOPOLIS;GO;1.9;1.9;1.8;2;2.2;2.3;2.6;2.8;2.9;2.4;2;1.9;2.2
82480;PIRIPIRI;PI;1.8;1.7;1.5;1.4;1.5;1.7;2;2.3;2.5;2.6;2.4;2.4;2
83570;POMPEU;MG;1;0.9;0.8;0.8;0.9;0.9;1;1.2;1.2;1.1;1;1;1
83967;PORTO ALEGRE;RS;2.2;2.1;1.8;1.7;1.6;1.5;1.7;1.8;2.2;2.3;2.4;2.3;2
82184;PORTO DE MOZ;PA;0.7;0.7;0.7;0.6;0.7;0.6;0.6;0.7;0.8;0.8;0.7;0.7;0.7
82996;PORTO DE PEDRAS;AL;-;4.2;3.9;3.4;3.5;4.3;4.7;4.7;5.2;5.4;5.6;-;-
83064;PORTO NACIONAL;TO;0.9;0.9;0.8;0.7;0.7;0.8;0.9;0.9;1.1;1;0.9;1;0.9
83332;POSSE;GO;0.7;0.8;0.8;1;1.1;1.4;1.6;1.7;1.5;0.9;0.7;0.7;1.1
82900;RECIFE (CURADO);PE;2.5;2.5;2.2;2;1.9;2;2.2;2.5;2.7;2.8;2.8;2.7;2.4
82915;RIO BRANCO;AC;1;1.1;1.1;1;1;0.9;1;1;1.1;1.2;1.3;1.2;1.1
83441;SALINAS;MG;1.4;1.5;1.4;1.4;1.4;1.5;1.7;2;2.3;2.2;1.7;1.5;1.7
83229;SALVADOR (ONDINA);BA;1.4;1.4;1.4;1.4;1.6;1.6;1.7;1.7;1.7;1.7;1.7;1.5;1.6
83936;SANTA MARIA;RS;2.1;1.9;1.8;1.7;1.6;1.7;1.9;2.1;2.2;2.3;2.3;2.2;2
83726;SAO CARLOS;SP;2;2;2;2;1.9;1.9;2;2.2;2.5;2.4;2.4;2.3;2.1
82106;SAO GABRIEL DA CACHOEIRA(UAUPES);AM;1.2;1.3;1.3;1.2;1.2;1.1;1.2;1.2;1.3;1.3;1.3;1.2;1.2
83736;SAO LOURENCO;MG;1.2;1.1;1;0.9;0.9;0.7;0.8;1;1.2;1.3;1.3;1.2;1.1
83907;SAO LUIZ GONZAGA;RS;2.6;2.5;2.4;2.5;2.5;2.7;2.8;3;3.1;3;2.8;2.7;2.7
83781;SAO PAULO(MIR.de SANTANA);SP;2.4;2.4;2.4;2.5;2.4;2.3;2.2;2.3;2.7;2.8;2.9;2.8;2.5
83669;SAO SIMAO;SP;0.4;0.4;0.5;0.5;0.5;0.6;0.7;0.9;0.9;0.8;0.7;0.6;0.6
82141;SOURE;PA;2.2;2;1.8;1.6;1.8;2;2.2;2.7;3.3;3.3;3.1;2.9;2.4
82797;SURUBIM;PE;3.5;3.9;3.7;3.6;3.4;3.4;3.5;3.7;4;4.3;4.2;4.1;3.8
