CODIGO;CIDADE;UF;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;ANO
83076;STa. R. DE CASSIA (IBIPETUBA);BA;171.5;132.6;152.5;71.6;21.6;1.1;0.0;2.0;6.5;62.7;166.6;173.7;962.4
82797;SURUBIM;PE;37.9;41.6;62.8;68.7;76.5;99.1;84.3;47.8;23.1;8.8;10.6;19.1;580.3
83235;TAGUATINGA;TO;264.1;215.3;270.4;160.1;35.3;1.7;0.3;1.3;17.2;115.8;246.0;237.5;1565.0
82807;TARAUACA;AC;316.6;269.5;338.9;202.8;137.3;74.3;47.7;68.9;120.9;181.6;253.4;294.2;2306.1
82683;TAUA;CE;102.0;94.4;131.3;97.8;48.4;19.6;-;-;1.3;7.2;11.3;24.3;-
82317;TEFE;AM;283.9;258.2;303.4;306.9;272.1;154.3;115.4;92.9;115.3;154.6;184.2;220.5;2461.7
83492;TEOFILO OTONI;MG;129.8;104.7;130.2;-;-;20.7;26.3;20.3;30.6;63.4;195.7;221.2;-
82578;TERESINA;PI;205.9;233.6;292.0;264.9;114.7;20.7;12.6;7.6;11.3;22.2;44.8;99.0;1329.3
83744;TERESOPOLIS;RJ;285.1;179.1;216.9;106.3;69.0;37.3;35.3;32.5;73.1;106.4;231.5;277.4;1649.9
83948;TORRES;RS;168.6;172.2;152.6;108.1;121.1;103.0;121.8;125.7;138.3;144.4;112.6;114.6;1583.0
82145;TRACUATEUA;PA;271.2;385.3;449.5;409.6;341.8;209.2;191.9;76.2;16.7;10.3;12.4;56.1;2430.2
82361;TUCURUI;PA;358.4;399.4;440.2;403.3;251.7;75.4;-;33.4;35.9;64.8;115.0;211.5;-
82198;TURIACU;MA;221.6;296.8;455.9;420.8;306.4;205.7;155.0;45.5;11.4;8.4;11.2;36.4;2175.1
83577;UBERABA;MG;328.2;228.3;241.4;94.9;49.6;21.9;9.6;14.6;53.1;130.9;203.4;282.2;1658.1
83428;UNAI;MG;204.1;178.2;204.6;87.4;19.9;6.4;0.7;7.8;25.7;93.7;247.5;241.0;1317.0
83927;URUGUAIANA;RS;129.6;152.9;158.5;161.7;118.3;85.7;65.2;62.6;86.6;180.8;122.1;157.6;1481.6
82870;VALE DO GURGUEIA (CRISTIANO CASTRO);PI;149.3;152.1;163.3;105.2;34.4;1.8;0.2;1.1;8.3;49.2;91.3;111.4;867.6
83642;VICOSA;MG;236.0;116.9;163.3;58.0;34.2;15.5;7.7;10.4;49.7;99.2;204.8;265.9;1261.6
83648;VITORIA;ES;131.2;79.4;139.5;122.9;92.4;70.0;67.5;59.9;63.1;123.9;233.6;201.0;1384.4
83344;VITORIA DA CONQUISTA;BA;96.3;76.6;97.5;53.8;24.9;25.3;28.0;19.0;19.4;42.8;127.8;117.5;728.9
83623;VOTUPORANGA;SP;288.3;197.6;148.2;66.3;56.0;30.5;15.5;18.7;62.3;94.5;147.2;192.0;1317.1
82376;ZE DOCA;MA;255.2;321.8;348.5;342.2;202.6;85.6;40.4;16.2;16.9;23.1;51.4;106.4;1810.3
